epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1025.32,0.02882,902.616,0.00391,0,0,0,0,0,274.776,0,0.000653333,0.000653333,0.000653333
2,1638.28,0,16.5242,0,0,0,0,0,0,18.2718,0,0.00130693,0.00130693,0.00130693
